Date,Fatalities,Aboard,Ground
19 Oct 1934,11,11,0
02 Nov 1934,2,4,0
15 Nov 1934,2,2,0
15 Nov 1934,4,4,0
07 Dec 1934,3,3,0
08 Dec 1934,1,1,0
10 Dec 1934,4,8,0
20 Dec 1934,7,7,0
22 Dec 1934,1,1,0
31 Dec 1934,10,10,0
08 Jan 1935,0,2,15
26 Jan 1935,1,1,0
31 Jan 1935,11,11,0
12 Feb 1935,2,83,0
07 Mar 1935,0,3,0
15 Mar 1935,3,6,0
29 Mar 1935,5,5,0
01 Apr 1935,1,3,0
06 Apr 1935,7,7,0
01 May 1935,1,1,0
06 May 1935,5,14,0
18 May 1935,50,50,2
18 May 1935,3,12,0
27 May 1935,1,1,0
28 May 1935,2,2,0
29 May 1935,6,9,0
24 Jun 1935,17,20,0
14 Jul 1935,6,20,0
19 Jul 1935,2,2,0
20 Jul 1935,13,13,0
23 Jul 1935,1,8,0
28 Jul 1935,5,5,0
07 Aug 1935,7,7,0
13 Aug 1935,0,0,0
14 Aug 1935,4,4,0
15 Aug 1935,2,2,0
15 Aug 1935,3,3,0
01 Sep 1935,3,3,0
13 Sep 1935,8,8,0
02 Oct 1935,5,5,0
07 Oct 1935,12,12,0
09 Oct 1935,6,6,0
21 Oct 1935,1,6,0
30 Oct 1935,4,4,0
02 Nov 1935,4,4,0
09 Nov 1935,1,1,0
09 Nov 1935,12,13,0
11 Nov 1935,3,3,0
04 Dec 1935,1,2,0
10 Dec 1935,11,11,0
24 Dec 1935,3,3,0
31 Dec 1935,12,13,0
14 Jan 1936,13,16,0
14 Jan 1936,17,17,0
17 Jan 1936,13,13,0
21 Jan 1936,6,6,0
29 Jan 1936,1,6,0
10 Feb 1936,6,6,0
15 Feb 1936,4,4,0
05 Mar 1936,0,6,0
14 Mar 1936,5,5,0
26 Mar 1936,14,14,0
01 Apr 1936,2,2,0
07 Apr 1936,12,14,0
11 Apr 1936,3,25,0
15 Apr 1936,7,7,0
17 Apr 1936,3,5,0
21 Apr 1936,2,2,0
30 Apr 1936,2,2,0
16 May 1936,2,2,0
09 Jun 1936,1,15,0
13 Jun 1936,1,6,0
16 Jun 1936,7,7,0
15 Jul 1936,7,7,0
28 Jul 1936,6,6,0
31 Jul 1936,10,10,0
02 Aug 1936,3,3,0
03 Aug 1936,1,1,0
05 Aug 1936,8,8,0
06 Aug 1936,2,3,0
12 Aug 1936,2,2,0
22 Aug 1936,2,11,0
05 Sep 1936,10,11,0
24 Sep 1936,9,10,0
25 Sep 1936,2,2,0
28 Sep 1936,3,3,0
29 Sep 1936,4,4,0
06 Oct 1936,1,1,0
09 Oct 1936,1,1,0
01 Nov 1936,11,15,0
17 Nov 1936,4,16,0
19 Nov 1936,2,4,0
04 Dec 1936,6,6,0
06 Dec 1936,9,14,0
07 Dec 1936,5,5,0
09 Dec 1936,15,17,0
15 Dec 1936,7,7,0
18 Dec 1936,2,2,0
19 Dec 1936,0,11,0
23 Dec 1936,6,6,0
26 Dec 1936,0,0,0
27 Dec 1936,12,12,0
11 Jan 1937,9,9,0
12 Jan 1937,5,13,0
26 Jan 1937,12,12,0
09 Feb 1937,11,11,0
19 Feb 1937,5,7,0
12 Mar 1937,4,4,0
24 Mar 1937,5,6,0
25 Mar 1937,13,13,0
26 Mar 1937,0,6,0
06 May 1937,35,97,1
20 May 1937,4,4,0
02 Jun 1937,9,9,0
20 Jun 1937,6,6,0
02 Jul 1937,2,2,0
28 Jul 1937,15,15,0
02 Aug 1937,9,9,0
02 Aug 1937,14,14,0
06 Aug 1937,5,5,0
08 Aug 1937,3,11,0
10 Aug 1937,4,9,0
23 Aug 1937,3,3,0
27 Aug 1937,1,1,1
01 Oct 1937,2,14,0
06 Oct 1937,4,11,0
17 Oct 1937,19,19,0
27 Oct 1937,7,7,0
11 Nov 1937,4,11,0
12 Nov 1937,10,12,0
12 Nov 1937,4,11,0
16 Nov 1937,11,11,0
26 Nov 1937,3,3,0
04 Dec 1937,4,17,0
05 Dec 1937,2,19,0
05 Dec 1937,2,8,0
08 Dec 1937,2,7,0
24 Dec 1937,3,3,0
04 Jan 1938,6,6,0
10 Jan 1938,10,10,0
11 Jan 1938,7,7,0
12 Jan 1938,1,1,0
02 Feb 1938,11,14,0
05 Feb 1938,13,19,0
09 Feb 1938,2,2,0
09 Feb 1938,8,12,0
13 Feb 1938,14,14,0
22 Feb 1938,3,3,0
01 Mar 1938,9,9,0
07 Mar 1938,7,7,0
08 Mar 1938,1,1,0
23 Mar 1938,8,8,0
30 Apr 1938,19,19,0
05 May 1938,1,6,0
10 May 1938,2,2,0
16 May 1938,9,9,0
22 May 1938,6,17,0
24 May 1938,10,10,0
27 May 1938,1,1,0
27 May 1938,3,3,0
08 Jun 1938,3,3,0
19 Jun 1938,4,4,0
08 Jul 1938,1,10,0
14 Jul 1938,20,20,0
19 Jul 1938,4,4,0
22 Jul 1938,14,14,0
27 Jul 1938,4,4,0
29 Jul 1938,15,15,0
10 Aug 1938,12,12,0
10 Aug 1938,6,6,0
12 Aug 1938,11,11,0
13 Aug 1938,16,17,0
15 Aug 1938,9,9,0
18 Aug 1938,0,7,0
18 Aug 1938,15,15,0
24 Aug 1938,14,17,0
24 Aug 1938,5,5,53
29 Aug 1938,0,11,0
29 Aug 1938,5,9,0
01 Oct 1938,4,4,0
01 Oct 1938,13,13,0
10 Oct 1938,20,20,0
25 Oct 1938,18,18,0
02 Nov 1938,2,2,0
04 Nov 1938,14,14,1
14 Nov 1938,6,19,0
18 Nov 1938,2,2,0
26 Nov 1938,12,15,0
27 Nov 1938,4,6,0
29 Nov 1938,5,7,0
02 Dec 1938,8,8,0
08 Dec 1938,10,15,0
09 Dec 1938,4,4,0
12 Dec 1938,13,13,0
07 Jan 1939,5,17,0
13 Jan 1939,10,10,0
13 Jan 1939,4,4,0
18 Jan 1939,4,4,0
21 Jan 1939,3,13,0
12 Feb 1939,6,6,0
24 Feb 1939,10,10,0
14 Mar 1939,3,3,0
16 Mar 1939,8,8,0
18 Mar 1939,10,10,0
26 Mar 1939,8,12,0
03 Apr 1939,9,9,0
01 May 1939,2,4,0
02 May 1939,9,9,0
08 May 1939,1,1,22
06 Jun 1939,0,4,1
10 Jun 1939,3,3,0
20 Jun 1939,3,3,0
20 Jul 1939,6,6,0
04 Aug 1939,7,7,0
13 Aug 1939,14,16,0
15 Aug 1939,5,6,0
28 Aug 1939,2,2,0
30 Aug 1939,7,7,0
26 Sep 1939,1,20,0
10 Oct 1939,5,5,0
20 Nov 1939,2,2,0
18 Dec 1939,9,9,0
21 Dec 1939,5,8,0
24 Dec 1939,7,7,0
22 Jan 1940,8,9,0
10 Feb 1940,10,10,0
27 Feb 1940,11,11,0
01 Mar 1940,8,8,0
16 Mar 1940,14,14,0
22 Apr 1940,5,5,0
02 Jun 1940,5,5,0
14 Jun 1940,9,9,0
20 Jun 1940,1,1,0
07 Jul 1940,4,4,0
09 Aug 1940,2,13,0
13 Aug 1940,10,10,0
22 Aug 1940,11,11,0
23 Aug 1940,15,15,0
31 Aug 1940,25,25,0
22 Oct 1940,7,12,0
29 Oct 1940,9,14,0
29 Oct 1940,2,15,0
